date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4759,-6343,ARG,drifting_longlines,6.4375,0,1
2012-02-01,-4759,-6367,ARG,trawlers,0.79847222222222225,0,1
2012-02-01,-4759,-6343,ARG,trawlers,0.78027777777777785,0.78027777777777785,1
2012-02-01,-4503,-6174,ARG,trawlers,6.4295833333333334,0,1
2012-02-01,-4503,-6188,ARG,trawlers,0.8222222222222223,0,1
2012-02-01,-4503,-6180,ARG,trawlers,0.80152777777777773,0,1
2012-02-01,-4503,-6193,ARG,trawlers,2.4405555555555556,0,1
2012-02-01,-4503,-6179,ARG,trawlers,0.77583333333333326,0,1
2012-02-01,-4503,-6166,ARG,trawlers,3.8073611111111112,3.8073611111111112,1
2012-02-01,-3991,-6163,ARG,squid_jigger,1.5484722222222222,0,1
2012-02-01,-4758,-6487,ARG,trawlers,0.80847222222222226,0,1
2012-02-01,-4758,-6367,ARG,trawlers,0.81652777777777785,0,1
2012-02-01,-4758,-6485,ARG,trawlers,0.75013888888888891,0,1
2012-02-01,-4502,-6181,ARG,trawlers,0.8,0,1
2012-02-01,-4502,-6182,ARG,trawlers,0.788888888888889,0,1
2012-02-01,-4502,-6193,ARG,trawlers,5.6833333333333336,0,1
2012-02-01,-4502,-6167,ARG,trawlers,3.7986111111111112,0,1
2012-02-01,-4502,-6199,ARG,trawlers,4.5194444444444439,0,1
2012-02-01,-4502,-6168,ARG,trawlers,0.79305555555555551,0,1
2012-02-01,-4502,-6177,ARG,trawlers,0.76805555555555549,0,1
2012-02-01,-4502,-6188,ARG,trawlers,0.81111111111111112,0,1
2012-02-01,-4502,-6165,ARG,trawlers,4.5747222222222224,0,1
2012-02-01,-4502,-6176,ARG,trawlers,3.8529166666666663,0,1
2012-02-01,-4502,-6180,ARG,trawlers,3.2326388888888888,0,1
2012-02-01,-4502,-6184,ARG,trawlers,0.75819444444444439,0,1
2012-02-01,-4502,-6197,ARG,trawlers,4.5188888888888883,0,1
2012-02-01,-4502,-6185,ARG,trawlers,0.80694444444444435,0,1
2012-02-01,-4246,-6071,ARG,trawlers,0.77902777777777776,0,1
2012-02-01,-4757,-6385,ARG,trawlers,3.2811111111111111,0,1
2012-02-01,-4501,-6188,ARG,drifting_longlines,0.088888888888888892,0,1
2012-02-01,-4501,-6184,ARG,trawlers,1.5708333333333333,1.5708333333333333,1
2012-02-01,-4501,-6195,ARG,trawlers,5.6540277777777774,0,1
2012-02-01,-4501,-6179,ARG,drifting_longlines,0.78722222222222227,0,1
2012-02-01,-4501,-6165,ARG,drifting_longlines,4.5243055555555554,0,1
2012-02-01,-4501,-6173,ARG,trawlers,2.1791666666666667,2.1791666666666667,1
2012-02-01,-4501,-6194,ARG,trawlers,4.5581944444444442,4.5581944444444442,1
2012-02-01,-4501,-6193,ARG,drifting_longlines,2.3852777777777781,0,1
2012-02-01,-4501,-6187,ARG,drifting_longlines,0.81666666666666665,0,1
2012-02-01,-4501,-6180,ARG,drifting_longlines,0.803888888888889,0,1
2012-02-01,-4501,-6165,ARG,trawlers,3.817361111111111,3.817361111111111,1
2012-02-01,-4501,-6189,ARG,drifting_longlines,4.5256944444444445,0,1
2012-02-01,-4501,-6166,ARG,trawlers,0.76361111111111113,0.76361111111111113,1
2012-02-01,-4501,-6175,ARG,drifting_longlines,2.1572222222222224,0,1
2012-02-01,-4501,-6166,ARG,drifting_longlines,0.78027777777777774,0,1
2012-02-01,-4501,-6180,ARG,trawlers,1.5629166666666667,0,1
2012-02-01,-4501,-6178,ARG,drifting_longlines,4.8973611111111115,0,1
2012-02-01,-4245,-6070,ARG,trawlers,4.5952777777777776,0,1
2012-02-01,-3989,-5850,ARG,trawlers,0.78083333333333338,0,1
2012-02-01,-4756,-6530,ARG,trawlers,2.4080555555555554,0,1
2012-02-01,-3988,-5902,ARG,trawlers,1.4140277777777777,0,1
2012-02-01,-3988,-5849,ARG,trawlers,4.5708333333333337,0,1
2012-02-01,-4754,-6397,ARG,trawlers,1.5748611111111113,0,1
2012-02-01,-4242,-6164,ARG,squid_jigger,2.455,0,1
2012-02-01,-4753,-6358,ARG,trawlers,1.5831944444444443,0,1
2012-02-01,-4496,-6150,ARG,trawlers,3.2763888888888886,0,1
2012-02-01,-4751,-6350,ARG,trawlers,3.1956944444444444,0,1
2012-02-01,-4750,-6457,ARG,trawlers,3.82625,0,1
2012-02-01,-4750,-6459,ARG,trawlers,0.74597222222222215,0,1
2012-02-01,-4750,-6276,ARG,trawlers,4.9101388888888895,0,1
2012-02-01,-4493,-6146,ARG,trawlers,4.9101388888888886,0,1
2012-02-01,-4492,-6255,ARG,trawlers,2.4768055555555555,0,1
2012-02-01,-4492,-6147,ARG,trawlers,4.9168055555555554,0,1
2012-02-01,-4491,-6188,ARG,trawlers,1.6931944444444444,0,1
2012-02-01,-5002,-6660,ARG,trawlers,4.5615277777777781,0,1
2012-02-01,-4746,-6325,ARG,trawlers,0.81666666666666665,0,1
2012-02-01,-4746,-6326,ARG,trawlers,0.81958333333333333,0,1
2012-02-01,-4746,-6405,ARG,trawlers,5.6804166666666669,0,1
2012-02-01,-4490,-6189,ARG,trawlers,3.2291666666666665,0,1
2012-02-01,-4234,-5984,ARG,trawlers,4.5461111111111112,0,1
2012-02-01,-4489,-6150,ARG,trawlers,4.9469444444444441,0,1
2012-02-01,-4233,-5983,ARG,trawlers,0.76805555555555549,0,1
2012-02-01,-4744,-6336,ARG,trawlers,0.77638888888888891,0,1
2012-02-01,-4743,-6335,ARG,trawlers,2.2295833333333333,0,1
2012-02-01,-4743,-6368,ARG,trawlers,4.6004166666666668,0,1
2012-02-01,-4743,-6430,ARG,trawlers,1.5669444444444443,0,1
2012-02-01,-4231,-6023,ARG,trawlers,4.5819444444444439,0,1
2012-02-01,-3463,-5835,ARG,drifting_longlines,26.15055555555556,0,1
2012-02-01,-3463,-5836,ARG,trawlers,23.624861111111105,0,1
2012-02-01,-4742,-6341,ARG,trawlers,6.1134722222222226,0,1
2012-02-01,-4997,-6650,ARG,trawlers,5.675416666666667,0,1
2012-02-01,-4741,-6347,ARG,trawlers,4.558472222222222,0,1
