ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S128,Blue shark,Prionace glauca,116,F,PSAT,22/01/2010,37.4,-32.72,83,39.02,-27.63,,ATL_N
S129,Blue shark,Prionace glauca,116,M,PSAT,07/11/2009,32.53,-28.38,159,37.38,-34.05,,ATL_N
S130,Blue shark,Prionace glauca,200,M,PSAT,18/11/2009,26.38,-27.14,72,30.16,-26.93,,ATL_N
S131,Blue shark,Prionace glauca,168,M,SPOT,16/10/2009,38.34,-28.64,36,30.71,-29.98,,ATL_N
S132,Blue shark,Prionace glauca,133,M,SPOT,16/10/2009,38.34,-28.21,206,35.14,-21.35,,ATL_N
S133,Blue shark,Prionace glauca,201,M,SPOT,16/10/2009,38.34,-28.6,162,35.25,-24.59,,ATL_N
S134,Blue shark,Prionace glauca,156,M,SPOT,16/10/2009,38.33,-28.52,82,29.83,-24.67,,ATL_N
S135,Blue shark,Prionace glauca,130,M,SPOT,02/12/2009,38.35,-28.53,43,31.59,-26.62,,ATL_N
S136,Blue shark,Prionace glauca,178,F,SPOT,02/12/2009,38.33,-28.51,580,28.97,-65.99,,ATL_N
S137,Blue shark,Prionace glauca,178,U,PSAT,09/09/2005,44.11,-52.91,22,44.02,-53.3,,ATL_N
S138,Blue shark,Prionace glauca,168,U,PSAT,22/10/2007,44.39,-62.73,51,40.39,-62.23,,ATL_N
S139,Blue shark,Prionace glauca,190,U,PSAT,17/10/2007,43.6,-62.32,99,42.37,-45.7,,ATL_N
S140,Blue shark,Prionace glauca,172,U,PSAT,27/09/2007,44.01,-63.1,59,43.27,-64.7,,ATL_N
S141,Blue shark,Prionace glauca,178,U,PSAT,08/09/2005,44.41,-53.28,58,44.92,-54.37,,ATL_N
S142,Blue shark,Prionace glauca,153,U,PSAT,06/10/2006,43.88,-63.04,37,43.59,-61.66,,ATL_N
S143,Blue shark,Prionace glauca,209,U,PSAT,14/09/2005,42.12,-59.31,25,11.3,-53.43,,ATL_N
S144,Blue shark,Prionace glauca,156,U,PSAT,10/09/2005,44.27,-53.04,73,49.84,-41.67,,ATL_N
S145,Blue shark,Prionace glauca,200.9,U,PSAT,26/08/2005,44.33,-63.42,118,43.73,-63.6,,ATL_N
S146,Blue shark,Prionace glauca,158,U,PSAT,10/09/2005,44.38,-53.33,76,47.77,-42.81,,ATL_N
S147,Blue shark,Prionace glauca,142,U,PSAT,06/10/2006,43.88,-63.04,47,42.67,-62.49,,ATL_N
S148,Blue shark,Prionace glauca,138,U,PSAT,06/10/2006,43.88,-63.04,39,40.09,-62.49,,ATL_N
S149,Blue shark,Prionace glauca,170,U,PSAT,06/10/2006,43.88,-63.04,12,41.73,-61.07,,ATL_N
S150,Blue shark,Prionace glauca,142,U,PSAT,07/10/2006,44.34,-62.49,23,40.37,-58.15,,ATL_N
S151,Blue shark,Prionace glauca,142,U,PSAT,07/10/2006,44.34,-62.49,11,43.68,-60.5,,ATL_N
S152,Blue shark,Prionace glauca,167,U,PSAT,07/10/2006,44.21,-62.91,66,43.41,-42.96,,ATL_N
